TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
UCF   vs. 43 Wisconsin,B12,4,111.062,98.871,.792768,50.2178,48.4130,18.5208,16.8211,38.626,28.5142,42.365,28.991,50.7189,46.688,33.0168,33.6202,70.3120,+0.910
Villanova,BE,6,111.854,99.887,.786669,55.756,51.4203,18.6212,17.3191,40.116,23.528,26.3302,33.0165,52.7149,46.996,39.932,37.9308,67.9283,-1.9278
Arizona St.,B12,6,110.768,99.074,.783770,55.953,48.6137,18.6212,14.6296,27.7232,26.080,41.274,25.050,54.8101,51.4188,38.156,30.1105,71.081,+0.720
West Virginia,B12,4,109.877,98.262,.782871,54.781,41.822,17.2147,21.463,25.5282,33.1270,31.9220,29.8105,54.2116,40.319,36.880,29.7100,69.9147,-0.0879
Vanderbilt   vs. 86 Seton Hall,SEC,5,115.025,103.2140,.776772,54.196,51.4203,11.01,20.192,32.0135,23.940,37.9125,32.4153,61.620,47.7112,29.2267,39.4330,71.271,+0.814
Virginia   vs. 15 St. John's,ACC,4,106.7126,96.032,.772273,52.9116,42.324,21.6316,15.9251,20.9344,27.5116,26.0304,20.816,45.8280,38.07,41.222,31.4142,63.6363,+0.2246
McNeese St.   vs. 171 Illinois St.,Slnd,4,112.645,101.3107,.771674,46.0268,50.0177,18.1183,22.545,27.8228,36.2313,47.227,38.2247,50.0196,48.6123,26.9310,34.1215,68.7232,-0.8169
North Texas,Amer,5,106.7129,96.233,.766275,45.1287,47.196,17.8170,21.069,39.318,27.4113,38.4118,56.5355,40.6335,52.8208,34.9125,27.341,64.9361,+0.0967
Providence,BE,5,106.8123,96.738,.759876,53.5105,38.63,20.7286,16.1239,38.722,21.112,35.4152,33.5173,60.823,39.613,31.5214,24.415,66.9325,+0.1656
Washington St.,WCC,6,110.865,100.394,.757577,57.042,48.8145,20.6282,16.1239,37.837,26.690,36.4136,34.7191,59.437,50.2173,36.196,31.1134,71.848,-0.0274
Grand Canyon   (H) 232 Norfolk St.,WAC,4,110.373,100.092,.755778,47.5240,55.6294,20.7286,22.054,35.270,25.466,48.123,36.9226,51.0180,51.4188,27.8296,42.3355,70.986,-1.2217
Washington   (H) 347 Alcorn St.,B10,4,107.4114,97.455,.754379,41.9338,42.425,18.8220,18.3152,37.738,30.8212,40.387,43.5305,44.6295,46.081,23.1349,22.68,70.985,-0.1083
