TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
Hofstra   vs. 100 Arkansas St.,CAA,8,102.3223,103.5132,.4663174,47.8247,47.696,20.4298,17.0218,24.9299,30.6207,30.5244,35.6217,47.4260,41.613,32.2203,38.3333,65.2322,-0.8106
UNC Asheville   (A) 300 Tennessee St.,BSth,5,106.5149,107.8243,.4661175,46.9274,52.7249,16.4112,13.4339,33.694,32.3260,28.4286,39.7283,43.8325,55.7298,34.6122,32.3152,67.7218,-1.6159
Longwood   (H) 0 Regent (won),BSth,9,102.4222,103.7137,.4635176,46.9274,52.0231,19.4259,22.627,31.3142,32.9274,49.211,27.672,50.8187,57.4325,26.8337,28.034,68.7149,-0.7102
Tulane,Amer,8,103.4199,104.8156,.4631177,48.1236,46.257,16.2100,17.1209,30.6167,30.1192,36.1124,33.6180,47.4260,44.744,32.8183,32.0144,69.3115,-3.4307
Eastern Kentucky   (A) 118 Troy,ASun,7,105.5168,106.9210,.4629178,49.2203,51.2196,15.471,20.670,34.767,34.1300,23.9338,38.3265,48.2242,53.5245,33.7154,31.5127,67.9206,-1.6160
Jacksonville St.,CUSA,7,105.7158,107.2221,.4617179,53.686,50.6186,15.051,10.4363,27.9232,22.511,33.4185,23.520,56.362,43.532,32.5194,39.5344,65.9302,-2.2218
Brown,Ivy,7,105.7160,107.2222,.4613180,55.940,46.564,18.4212,17.7172,33.885,32.8272,34.2159,29.3100,57.246,45.049,36.464,33.1179,66.2291,-2.7259
Cornell,Ivy,7,107.4128,109.0264,.4596181,53.393,47.797,19.5266,16.2246,27.4250,35.6326,35.7130,39.1274,59.230,48.3106,31.9221,31.0111,72.118,-1.9188
Drexel,CAA,8,105.3172,106.9212,.4556182,53.980,49.2141,17.9186,12.9345,34.864,27.389,22.1351,26.451,55.580,50.0156,34.3132,31.9141,64.3353,-1.9193
Tulsa,Amer,8,104.7179,106.3194,.4548183,47.1268,50.2171,15.157,17.6183,29.3198,32.9274,38.979,35.7220,50.4194,50.8178,28.9295,32.6160,68.5163,-3.1291
Winthrop,BSth,9,102.2229,103.9141,.4530184,47.5257,48.3113,20.5300,23.121,35.454,33.3283,51.94,38.3265,53.9115,46.779,25.4354,33.7201,71.430,-1.7170
Oakland,Horz,6,102.8210,104.6151,.4519185,46.8278,52.1236,17.3158,14.6305,26.3274,29.4163,22.6349,26.045,54.1113,52.5221,23.9359,34.3227,64.9335,-1.6154
Northern Colorado,BSky,9,105.5169,107.3231,.4507186,53.491,50.4179,15.051,15.4275,26.6269,28.3125,21.4356,35.2209,56.653,52.2211,32.3200,31.3122,70.659,-0.9120
UNC Greensboro,SC,7,102.2230,104.0142,.4486187,44.1331,45.042,16.9132,17.7172,32.8116,31.8248,33.0192,35.1208,40.9350,45.152,32.1211,29.982,65.8309,-2.3231
New Mexico St.,CUSA,7,104.1186,106.1183,.4461188,42.9342,45.654,17.0137,12.4354,37.426,28.9149,36.7113,53.7360,42.0343,45.152,29.6282,30.8105,67.6223,-2.7254
Weber St.,BSky,8,104.5181,106.5199,.4457189,46.2293,51.5213,18.1200,17.2205,28.3216,29.7177,36.7113,45.3337,47.1270,48.2105,29.9272,38.7338,67.5230,-2.3223
Hawaii,BW,6,104.1188,106.2185,.4442190,50.7170,47.383,16.3104,11.5360,33.1107,25.952,52.63,47.1347,56.069,48.5113,27.0332,29.367,65.8306,-0.3681
Cal St. Northridge,BW,8,102.6216,104.6154,.4436191,52.3120,47.075,18.3207,20.571,30.7163,23.118,40.758,51.2356,54.0114,46.779,32.3200,31.5127,72.119,-0.9121
Wofford   (H) 204 North Alabama,SC,7,108.5105,110.7306,.4432192,51.9139,54.6303,20.0287,13.9332,31.5135,34.5317,22.8347,36.8240,53.4125,54.6275,33.5161,36.4297,65.4317,-3.2300
Cal Baptist   (A) 80 UCF,WAC,8,108.2110,110.5300,.4396193,50.0187,53.6278,12.43,17.4192,32.9114,31.1231,29.0277,25.338,52.0160,52.8229,30.7257,36.7306,65.4318,-2.2217
Montana,BSky,8,105.6164,108.0246,.4345194,48.5230,50.5182,19.9280,15.0290,27.5245,34.1300,40.758,34.7200,53.0136,53.3239,27.9315,30.295,68.0192,-0.8108
Northeastern,CAA,8,101.7237,104.1146,.4338195,53.099,47.590,17.2152,17.8164,24.7305,28.5131,28.9278,27.874,54.6101,48.1104,33.1175,31.0111,67.2242,-1.9192
UC Riverside,BW,8,104.7178,107.2224,.4336196,47.0271,52.4241,16.2100,14.2324,31.0153,31.1231,27.8291,30.9127,46.2291,53.6247,32.1211,33.7201,68.2188,-1.4142
